"radon","floor","county"
2.2,1,"AITKIN"
2.2,0,"AITKIN"
2.9,0,"AITKIN"
1,0,"AITKIN"
3.1,0,"ANOKA"
2.5,0,"ANOKA"
1.5,0,"ANOKA"
1,0,"ANOKA"
0.7,0,"ANOKA"
1.2,0,"ANOKA"
1.2,0,"ANOKA"
1.3,0,"ANOKA"
1.4,0,"ANOKA"
0.4,0,"ANOKA"
1.1,0,"ANOKA"
4.5,0,"ANOKA"
1.3,0,"ANOKA"
2.1,0,"ANOKA"
5.9,0,"ANOKA"
3.3,0,"ANOKA"
1.8,0,"ANOKA"
5.4,0,"ANOKA"
6.3,0,"ANOKA"
1.9,0,"ANOKA"
6.6,0,"ANOKA"
3.1,0,"ANOKA"
6.8,0,"ANOKA"
7,0,"ANOKA"
7.7,0,"ANOKA"
5.2,0,"ANOKA"
4.5,0,"ANOKA"
4.4,0,"ANOKA"
2.8,0,"ANOKA"
8.1,0,"ANOKA"
1.6,0,"ANOKA"
4.2,0,"ANOKA"
5.4,0,"ANOKA"
4,0,"ANOKA"
2.3,0,"ANOKA"
2.9,0,"ANOKA"
1.4,0,"ANOKA"
3.3,0,"ANOKA"
2.9,0,"ANOKA"
1.8,1,"ANOKA"
0.2,1,"ANOKA"
2.4,0,"ANOKA"
1.1,1,"ANOKA"
2.2,0,"ANOKA"
0.6,0,"ANOKA"
1.7,0,"ANOKA"
2.9,0,"ANOKA"
2.2,0,"ANOKA"
1.7,0,"ANOKA"
1.4,0,"ANOKA"
1.9,0,"ANOKA"
1.8,0,"ANOKA"
1.2,1,"BECKER"
4.3,0,"BECKER"
4.5,1,"BECKER"
6.3,0,"BELTRAMI"
4.6,0,"BELTRAMI"
5.7,0,"BELTRAMI"
2.2,1,"BELTRAMI"
0.4,1,"BELTRAMI"
4.6,1,"BELTRAMI"
4.4,1,"BELTRAMI"
6.6,0,"BENTON"
2.7,0,"BENTON"
2.9,1,"BENTON"
2.9,0,"BENTON"
7.2,0,"BIGSTONE"
5,0,"BIGSTONE"
2.6,0,"BIGSTONE"
5,0,"BLUEEARTH"
13,0,"BLUEEARTH"
7.2,0,"BLUEEARTH"
6.8,0,"BLUEEARTH"
12.8,0,"BLUEEARTH"
5.8,1,"BLUEEARTH"
9.5,0,"BLUEEARTH"
6,0,"BLUEEARTH"
3.8,0,"BLUEEARTH"
14.3,1,"BLUEEARTH"
1.8,0,"BLUEEARTH"
6.9,0,"BLUEEARTH"
4.7,0,"BLUEEARTH"
9.5,0,"BLUEEARTH"
2.5,1,"BROWN"
6.7,0,"BROWN"
4,1,"BROWN"
10.1,0,"BROWN"
2.2,0,"CARLTON"
1.8,0,"CARLTON"
3.4,0,"CARLTON"
5.6,1,"CARLTON"
4.3,0,"CARLTON"
3.9,0,"CARLTON"
1.3,0,"CARLTON"
4.2,0,"CARLTON"
0.8,0,"CARLTON"
2,0,"CARLTON"
1.6,0,"CARVER"
12.9,0,"CARVER"
14.7,1,"CARVER"
4.7,1,"CARVER"
9.6,0,"CARVER"
0,1,"CARVER"
3.7,0,"CASS"
7.4,0,"CASS"
1.9,0,"CASS"
5.3,0,"CASS"
4,0,"CASS"
7.7,0,"CHIPPEWA"
1.4,0,"CHIPPEWA"
10,0,"CHIPPEWA"
9.4,0,"CHIPPEWA"
0.8,0,"CHISAGO"
4.4,0,"CHISAGO"
5,0,"CHISAGO"
2.1,0,"CHISAGO"
1.7,0,"CHISAGO"
8.1,0,"CHISAGO"
0.9,1,"CLAY"
12.9,0,"CLAY"
2.6,0,"CLAY"
3.5,1,"CLAY"
26.6,0,"CLAY"
1.5,0,"CLAY"
13,0,"CLAY"
8.8,0,"CLAY"
19.5,0,"CLAY"
2.5,1,"CLAY"
9,0,"CLAY"
13.1,0,"CLAY"
3.6,0,"CLAY"
6.9,1,"CLAY"
4.8,1,"CLEARWATER"
3.4,0,"CLEARWATER"
0.9,1,"CLEARWATER"
3.4,0,"CLEARWATER"
2.7,0,"COOK"
1.4,0,"COOK"
6.8,0,"COTTONWOOD"
11.1,1,"COTTONWOOD"
0,1,"COTTONWOOD"
2.5,1,"COTTONWOOD"
1.8,0,"CROWWING"
1.6,0,"CROWWING"
1,1,"CROWWING"
0.9,0,"CROWWING"
2.9,0,"CROWWING"
4.4,0,"CROWWING"
1.5,0,"CROWWING"
4.1,0,"CROWWING"
2.5,1,"CROWWING"
6.7,1,"CROWWING"
4.3,0,"CROWWING"
5.5,0,"CROWWING"
3.6,0,"DAKOTA"
2.8,0,"DAKOTA"
14.6,0,"DAKOTA"
6.7,0,"DAKOTA"
8,0,"DAKOTA"
2.6,0,"DAKOTA"
2.8,1,"DAKOTA"
4.4,0,"DAKOTA"
1.7,1,"DAKOTA"
2,0,"DAKOTA"
2,0,"DAKOTA"
1.5,0,"DAKOTA"
9.6,0,"DAKOTA"
8.1,0,"DAKOTA"
3.5,0,"DAKOTA"
0.8,1,"DAKOTA"
5.1,0,"DAKOTA"
3.2,0,"DAKOTA"
10.8,0,"DAKOTA"
8.2,0,"DAKOTA"
6.3,0,"DAKOTA"
4.8,0,"DAKOTA"
6,0,"DAKOTA"
1.1,0,"DAKOTA"
8.7,0,"DAKOTA"
