Genotype	Tray	Seedling	SeedlingWeight
A	1	1	8
A	1	2	9
A	1	3	11
A	1	4	12
A	1	5	10
A	2	1	17
A	2	2	17
A	2	3	16
A	2	4	15
A	2	5	19
A	2	6	18
A	2	7	18
A	2	8	18
A	2	9	24
A	3	1	12
A	3	2	12
A	3	3	16
A	3	4	15
A	3	5	15
A	3	6	14
A	4	1	17
A	4	2	20
A	4	3	20
A	4	4	19
A	4	5	19
A	4	6	18
A	4	7	20
A	4	8	19
A	4	9	19
B	5	1	9
B	5	2	12
B	5	3	13
B	5	4	16
B	5	5	14
B	5	6	14
B	6	1	10
B	6	2	10
B	6	3	9
B	6	4	8
B	6	5	13
B	6	6	9
B	6	7	11
B	7	1	12
B	7	2	16
B	7	3	17
B	7	4	15
B	7	5	15
B	7	6	15
B	8	1	9
B	8	2	6
B	8	3	8
B	8	4	8
B	8	5	13
B	8	6	9
B	8	7	9
B	8	8	10
